,nconst,primaryName,knownForTitles
148,nm0000076,françois truffaut,"tt0075860,tt0055032,tt0053198,tt0070460"
149,nm0001693,eva marie saint,"tt0053125,tt1837709,tt0047296,tt0348150"
150,nm0001884,max von sydow,"tt0080745,tt0181689,tt0050976,tt0477302"
151,nm0358069,murray hamilton,"tt0052561,tt0061722,tt0073195,tt0078723"
152,nm0000419,jean-luc godard,"tt0057345,tt0056663,tt0053472,tt0059592"
153,nm0000537,steve mcqueen,"tt0062765,tt0070511,tt0057115,tt0054047"
154,nm0643105,warren oates,"tt0083131,tt0065214,tt0061811,tt0069762"
155,nm0006890,paul scofield,"tt0110932,tt0060665,tt0115988,tt0097499"
156,nm0000591,roman polanski,"tt1139328,tt0074811,tt0071315,tt1692486"
157,nm0759162,harry saltzman,"tt0066995,tt0055928,tt0070328,tt0062512"
158,nm0314829,joseph gershenson,"tt0054331,tt0046876,tt0113161,tt0052311"
159,nm0768334,john saxon,"tt0070034,tt0111686,tt0087800,tt0071222"
160,nm0808906,keely smith,"tt0260866,tt0124298,tt0112641,tt0081398"
161,nm0001789,andrei tarkovsky,"tt0091670,tt0060107,tt0069293,tt0079944"
162,nm0291266,steve franken,"tt0808151,tt0092718,tt0063415,tt0070909"
163,nm0000142,clint eastwood,"tt0112579,tt0105695,tt1205489,tt0405159"
164,nm0588241,dick miller,"tt0087363,tt0088247,tt0082533,tt0096734"
165,nm0005573,richard d. zanuck,"tt0120647,tt0097239,tt0408236,tt0088933"
166,nm0000125,sean connery,"tt0058150,tt0059800,tt0094226,tt0117500"
167,nm0164203,les clark,"tt0048280,tt0033563,tt0053285,tt0046183"
168,nm0718627,wolfgang reitherman,"tt0061852,tt0065421,tt0070608,tt0057546"
169,nm0446129,ray kellogg,"tt0045810,tt0056937,tt0048605,tt0066473"
170,nm0001715,george c. scott,"tt0057012,tt0054997,tt0066206,tt0080516"
171,nm0001673,jason robards,"tt0098067,tt0074119,tt0175880,tt0064116"
172,nm0619938,tatsuya nakadai,"tt0080979,tt0089881,tt0056058,tt0056443"
173,nm0000165,ron howard,"tt0870111,tt0268978,tt0367279,tt0112384"
174,nm0515225,barry livingston,"tt1024648,tt1285016,tt1742044,tt2005151"
175,nm0809135,lois smith,"tt4925292,tt3799694,tt0117998,tt0181689"
176,nm0110480,peter brocco,"tt0086491,tt0054331,tt0098621,tt0073486"
177,nm0001012,claudia cardinale,"tt0056801,tt0057413,tt0064116,tt0083946"
178,nm0674742,jacques perrin,"tt0372824,tt0095765,tt0065234,tt0237534"
179,nm0849083,tomoyuki tanaka,"tt0080979,tt0047034,tt0055630,tt0057565"
180,nm0687658,terence plummer,"tt0114287,tt0096446,tt0096895,tt0097937"
181,nm0308056,hank garrett,"tt0078767,tt0071402,tt0073802,tt0119807"
182,nm0001466,sergio leone,"tt0087843,tt0058461,tt0067140,tt0060196"
183,nm0675490,nehemiah persoff,"tt0090633,tt0051207,tt0053291,tt0096320"
